rank,run,n_seeds,best_val_acc,best_val_loss,best_train_acc,best_train_loss,best_epoch,total_epochs,accuracy,top5_acc,f1_macro,f1_weighted
1,vgg16_pre_cel_adam,5,0.9104 +/- 0.0093,1.2110 +/- 0.0153,0.9666 +/- 0.0044,1.0681 +/- 0.0122,25.4000 +/- 2.7019,30.0000 +/- 0.0000,0.9104 +/- 0.0093,0.9869 +/- 0.0051,0.9109 +/- 0.0092,0.9104 +/- 0.0096
2,alexnet_pre_cel_adam,5,0.9069 +/- 0.0039,1.1976 +/- 0.0184,0.9618 +/- 0.0061,1.0497 +/- 0.0193,24.6000 +/- 3.8471,30.0000 +/- 0.0000,0.9069 +/- 0.0039,0.9850 +/- 0.0036,0.9063 +/- 0.0037,0.9062 +/- 0.0038
3,vgg16_pre_cel_rmsprop,5,0.8998 +/- 0.0058,1.2240 +/- 0.0111,0.9700 +/- 0.0029,1.0083 +/- 0.0113,27.4000 +/- 3.1305,30.0000 +/- 0.0000,0.8998 +/- 0.0058,0.9787 +/- 0.0053,0.9001 +/- 0.0059,0.8998 +/- 0.0058
4,vgg16_pre_mml_rmsprop,1,0.8952 +/- 0.0000,0.0146 +/- 0.0000,0.9409 +/- 0.0000,0.0038 +/- 0.0000,28.0000 +/- 0.0000,30.0000 +/- 0.0000,0.8952 +/- 0.0000,0.9837 +/- 0.0000,0.8943 +/- 0.0000,0.8946 +/- 0.0000
5,alexnet_pre_cel_rmsprop,5,0.8888 +/- 0.0047,1.2512 +/- 0.0209,0.9482 +/- 0.0060,1.0860 +/- 0.0213,27.4000 +/- 2.4083,30.0000 +/- 0.0000,0.8888 +/- 0.0047,0.9787 +/- 0.0041,0.8876 +/- 0.0044,0.8875 +/- 0.0045
6,vgg16_pre_mml_adam,1,0.8885 +/- 0.0000,0.0159 +/- 0.0000,0.9430 +/- 0.0000,0.0063 +/- 0.0000,24.0000 +/- 0.0000,30.0000 +/- 0.0000,0.8885 +/- 0.0000,0.9798 +/- 0.0000,0.8883 +/- 0.0000,0.8880 +/- 0.0000
7,alexnet_pre_mml_rmsprop,1,0.8731 +/- 0.0000,0.0192 +/- 0.0000,0.9336 +/- 0.0000,0.0040 +/- 0.0000,29.0000 +/- 0.0000,30.0000 +/- 0.0000,0.8731 +/- 0.0000,0.9769 +/- 0.0000,0.8724 +/- 0.0000,0.8724 +/- 0.0000
8,alexnet_pre_mml_adam,1,0.8692 +/- 0.0000,0.0132 +/- 0.0000,0.8947 +/- 0.0000,0.0061 +/- 0.0000,18.0000 +/- 0.0000,29.0000 +/- 0.0000,0.8692 +/- 0.0000,0.9808 +/- 0.0000,0.8679 +/- 0.0000,0.8683 +/- 0.0000
9,alexnet_opt_cel_adam,1,0.8635 +/- 0.0000,1.2633 +/- 0.0000,0.9538 +/- 0.0000,1.0290 +/- 0.0000,42.0000 +/- 0.0000,50.0000 +/- 0.0000,0.8635 +/- 0.0000,0.9663 +/- 0.0000,0.8629 +/- 0.0000,0.8636 +/- 0.0000
10,alexnet_opt_cel_rmsprop,1,0.8385 +/- 0.0000,1.3254 +/- 0.0000,0.9315 +/- 0.0000,1.1016 +/- 0.0000,46.0000 +/- 0.0000,50.0000 +/- 0.0000,0.8385 +/- 0.0000,0.9654 +/- 0.0000,0.8350 +/- 0.0000,0.8360 +/- 0.0000
