rank,run,n_seeds,best_val_acc_mean,best_val_loss_mean,best_train_acc_mean,best_train_loss_mean,best_epoch_mean,total_epochs_mean,accuracy_mean,top5_acc_mean,f1_macro_mean,f1_weighted_mean,best_val_acc_std,best_val_loss_std,best_train_acc_std,best_train_loss_std,best_epoch_std,total_epochs_std,accuracy_std,top5_acc_std,f1_macro_std,f1_weighted_std
1,pretrained_resnet50_ce_adam,5,0.9523076923076923,0.9422496518721948,0.9958643904784804,0.787255629712958,25.4,30.4,0.9498076923076922,0.9892307692307692,0.9498906183457301,0.9497023804533358,0.009460287597114524,0.02814091872955638,0.00441851781082852,0.01957629859379248,7.987490219086343,8.87693640846886,0.010001848941496829,0.004681023632553125,0.010454648455280154,0.010347496736951525
2,pretrained_resnet50_ce_adam_bs16_lr5e-05_wd0.001-bs-16-lr5e-05-wdecay0.001,5,0.950576923076923,0.955480978672321,0.9919211348881942,0.8150509403341808,21.2,26.8,0.9471153846153847,0.9909615384615386,0.9470225582389581,0.9467756037281794,0.00497776119444035,0.025462834834375257,0.006022110545248894,0.033533537156132,7.9498427657407165,5.403702434442518,0.006485931520784612,0.0035719568501935985,0.007145446462853801,0.006896625771095591
3,pretrained_resnet18_ce_adam,5,0.9494230769230769,0.9931334185600281,0.9952392402019716,0.8449462628874764,28.0,40.0,0.9465384615384614,0.9907692307692308,0.9462680613744734,0.9461911195168529,0.007404470503145594,0.027951861859922197,0.002733017021088312,0.01856402240757147,6.164414002968976,0.0,0.008175904488262045,0.00350665048630969,0.008376184486090807,0.008235068842641533
4,pretrained_resnet50_ce_rmsprop,3,0.9403846153846155,1.0047421492063082,0.9955117416045524,0.8374274080166728,33.666666666666664,40.0,0.9368589743589744,0.9887820482254028,0.9366528962900157,0.9367408277100012,0.016003189401051134,0.040450930883521585,0.002310416815804961,0.02022800212900919,4.163331998932266,0.0,0.01699322582283539,0.0030908915024255774,0.01814890229711477,0.017581958007672392
5,pretrained_resnet50_mm_adam,3,0.9391025641025642,0.0074771346375107385,0.9797226897491385,0.0011749090588091364,20.333333333333332,29.0,0.9355769230769231,0.9926281968752543,0.9349905694715869,0.9351534437751235,0.010008009612817911,0.0019330106766432859,0.00932573604466533,0.0005175128425532655,6.110100926607786,2.0,0.009470055578650067,0.004441138445750909,0.009697981184780519,0.009920859222215805
6,pretrained_resnet18_ce_rmsprop,1,0.925,1.0545642962822548,0.9906227458523683,0.8658204449286511,35.0,40.0,0.9211538461538461,0.989423076923077,0.9206133036658584,0.92079217474596,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7,pretrained_resnet18_mm_adam,1,0.9211538461538461,0.010163839584073195,0.9459004568405867,0.0032240048414317927,20.0,24.0,0.9134615384615384,0.9903846153846154,0.9137718282197664,0.9136049646178569,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8,custom_resnet50_ce_adam,5,0.8940384615384616,1.201850374661959,0.9553257994710267,1.0336991695493252,38.0,40.0,0.8925000000000001,0.9782692307692308,0.8921332380430986,0.8918402292157293,0.01471499456638561,0.04204912651647271,0.0073234354494366855,0.024466909729371208,1.5811388300841893,0.0,0.014089081550438682,0.005548668479328303,0.014019776627595334,0.014021327488520974
9,custom_resnet50_ce_adam_bs16_lr0.0005_wd0.001-bs-16-lr0.0005-wdecay0.001,5,0.8901923076923077,1.2506358812405511,0.9198364991584516,1.1483987210891258,38.8,40.0,0.8876923076923078,0.9775,0.8865961018953437,0.8866530470552988,0.008849288742187334,0.030180104745398385,0.002712846878108837,0.01175282298197055,1.6431676725154978,0.0,0.01154647157867547,0.007117982893585301,0.012893353819750193,0.012734461680894872
10,custom_resnet18_ce_adam,5,0.8896153846153846,1.2063597349020152,0.951959605674441,1.04776909236697,39.2,40.0,0.8876923076923078,0.975,0.8867035206895899,0.8865160256983277,0.00858412081564062,0.026643014995428697,0.006583469608523942,0.009036623527561084,0.8366600265340757,0.0,0.008557152100495041,0.003905787694536503,0.008677160990760498,0.00910150787611526
11,custom_resnet34_ce_adam,5,0.8851923076923077,1.203326974281898,0.9383024765568646,1.0721283402658477,38.6,40.0,0.8842307692307692,0.9773076923076923,0.8831203508641788,0.8834182479999525,0.007917380327014976,0.03265676849050322,0.008037037209670521,0.02367221715764465,0.547722557505166,0.0,0.008119166089455608,0.00443768490739011,0.00860585839603119,0.00863676481870898
12,custom_resnet18_mm_adam,1,0.8221153846153846,0.026537279426478422,0.7975474873767733,0.01469272552190219,40.0,40.0,0.8096153846153846,0.9557692307692308,0.8046821150115384,0.8065359974414655,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
13,custom_resnet50_mm_adam,3,0.8125,0.022546754335650263,0.8134968341748818,0.012693202420386906,38.333333333333336,40.0,0.8108974358974358,0.9673077066739401,0.8090028711913667,0.8090443404406079,0.015887222732556095,0.004862065362973737,0.01805774288397618,0.0017705474430075618,1.5275252316519456,0.0,0.015983920051014993,0.007631970256782699,0.015231972793766854,0.015482322019107953
14,custom_resnet50_ce_rmsprop,3,0.8105769230769231,1.4906702793561495,0.7756672276989661,1.5862736891714189,38.666666666666664,40.0,0.8067307692307693,0.9557692408561707,0.805036739335185,0.8051645834971531,0.01640261741272308,0.03999892795704926,0.024234639276528053,0.0671203800146003,0.5773502691896263,0.0,0.015828920801109956,0.003466889451490943,0.015377720218999998,0.014670650117791159
15,custom_resnet18_ce_rmsprop,1,0.8057692307692308,1.5151939190351047,0.7929790815099783,1.5262156914392038,38.0,40.0,0.8028846153846154,0.9538461538461539,0.7993861957388095,0.8005174411441309,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
16,custom_resnet18_mm_adamw,1,0.7980769230769231,0.028739628661423922,0.7879297908150997,0.014465554830078308,38.0,40.0,0.7865384615384615,0.9605769230769231,0.7827691628702776,0.7848693043918014,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
17,pretrained_resnet50_freezed_ce_adam,1,0.7894230769230769,2.1633223790388842,0.8345756191392162,2.0685118521942374,39.0,40.0,0.7701923076923077,0.9548076923076924,0.7629603899373395,0.7629586439915469,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
18,custom_resnet34_mm_adamw,1,0.7855769230769231,0.03207738850122461,0.7605193556143304,0.016417902890959162,40.0,40.0,0.7807692307692308,0.9557692307692308,0.7770953186915779,0.7782751834157049,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
19,custom_resnet50_mm_adamw,3,0.7717948717948717,0.03302248066338973,0.7605193556143304,0.016306161703439615,38.666666666666664,40.0,0.7673076923076924,0.9567307829856873,0.7653853641945422,0.7652203083736139,0.02573500405916128,0.009529263191198048,0.034849222828592374,0.003933533099843907,0.5773502691896263,0.0,0.02808284974328886,0.0019230842590332031,0.02815567963749059,0.029515265543106014
20,pretrained_resnet18_freezed_ce_adam,1,0.7528846153846154,1.9347989889291617,0.662178408271219,2.1464423652909415,31.0,40.0,0.7519230769230769,0.9432692307692307,0.7452952215854137,0.7461050652678283,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
