rank,run,n_seeds,best_val_acc,best_val_loss,best_train_acc,best_train_loss,best_epoch,total_epochs,accuracy,top5_acc,f1_macro,f1_weighted
1,pretrained_resnet50_ce_adam,5,0.9523 +/- 0.0095,0.9422 +/- 0.0281,0.9959 +/- 0.0044,0.7873 +/- 0.0196,25.4000 +/- 7.9875,30.4000 +/- 8.8769,0.9498 +/- 0.0100,0.9892 +/- 0.0047,0.9499 +/- 0.0105,0.9497 +/- 0.0103
2,pretrained_resnet50_ce_adam_bs16_lr5e-05_wd0.001-bs-16-lr5e-05-wdecay0.001,5,0.9506 +/- 0.0050,0.9555 +/- 0.0255,0.9919 +/- 0.0060,0.8151 +/- 0.0335,21.2000 +/- 7.9498,26.8000 +/- 5.4037,0.9471 +/- 0.0065,0.9910 +/- 0.0036,0.9470 +/- 0.0071,0.9468 +/- 0.0069
3,pretrained_resnet18_ce_adam,5,0.9494 +/- 0.0074,0.9931 +/- 0.0280,0.9952 +/- 0.0027,0.8449 +/- 0.0186,28.0000 +/- 6.1644,40.0000 +/- 0.0000,0.9465 +/- 0.0082,0.9908 +/- 0.0035,0.9463 +/- 0.0084,0.9462 +/- 0.0082
4,pretrained_resnet50_ce_rmsprop,3,0.9404 +/- 0.0160,1.0047 +/- 0.0405,0.9955 +/- 0.0023,0.8374 +/- 0.0202,33.6667 +/- 4.1633,40.0000 +/- 0.0000,0.9369 +/- 0.0170,0.9888 +/- 0.0031,0.9367 +/- 0.0181,0.9367 +/- 0.0176
5,pretrained_resnet50_mm_adam,3,0.9391 +/- 0.0100,0.0075 +/- 0.0019,0.9797 +/- 0.0093,0.0012 +/- 0.0005,20.3333 +/- 6.1101,29.0000 +/- 2.0000,0.9356 +/- 0.0095,0.9926 +/- 0.0044,0.9350 +/- 0.0097,0.9352 +/- 0.0099
6,pretrained_resnet18_ce_rmsprop,1,0.9250 +/- 0.0000,1.0546 +/- 0.0000,0.9906 +/- 0.0000,0.8658 +/- 0.0000,35.0000 +/- 0.0000,40.0000 +/- 0.0000,0.9212 +/- 0.0000,0.9894 +/- 0.0000,0.9206 +/- 0.0000,0.9208 +/- 0.0000
7,pretrained_resnet18_mm_adam,1,0.9212 +/- 0.0000,0.0102 +/- 0.0000,0.9459 +/- 0.0000,0.0032 +/- 0.0000,20.0000 +/- 0.0000,24.0000 +/- 0.0000,0.9135 +/- 0.0000,0.9904 +/- 0.0000,0.9138 +/- 0.0000,0.9136 +/- 0.0000
8,custom_resnet50_ce_adam,5,0.8940 +/- 0.0147,1.2019 +/- 0.0420,0.9553 +/- 0.0073,1.0337 +/- 0.0245,38.0000 +/- 1.5811,40.0000 +/- 0.0000,0.8925 +/- 0.0141,0.9783 +/- 0.0055,0.8921 +/- 0.0140,0.8918 +/- 0.0140
9,custom_resnet50_ce_adam_bs16_lr0.0005_wd0.001-bs-16-lr0.0005-wdecay0.001,5,0.8902 +/- 0.0088,1.2506 +/- 0.0302,0.9198 +/- 0.0027,1.1484 +/- 0.0118,38.8000 +/- 1.6432,40.0000 +/- 0.0000,0.8877 +/- 0.0115,0.9775 +/- 0.0071,0.8866 +/- 0.0129,0.8867 +/- 0.0127
10,custom_resnet18_ce_adam,5,0.8896 +/- 0.0086,1.2064 +/- 0.0266,0.9520 +/- 0.0066,1.0478 +/- 0.0090,39.2000 +/- 0.8367,40.0000 +/- 0.0000,0.8877 +/- 0.0086,0.9750 +/- 0.0039,0.8867 +/- 0.0087,0.8865 +/- 0.0091
